Settlement Date,Settlement Period,INDO
20170107,24,41130
20170107,25,41144
20170107,26,41118
20170107,27,40551
20170107,28,40198
20170107,29,39832
20170107,30,39692
20170107,31,40003
20170107,32,40669
20170107,33,41834
20170107,34,44208
20170107,35,44868
20170107,36,45042
20170107,37,44418
20170107,38,43683
20170107,39,42934
20170107,40,41223
20170107,41,40240
20170107,42,38789
20170107,43,37381
20170107,44,35937
20170107,45,34467
20170107,46,33152
20170107,47,31511
20170107,48,30515
20170108,1,28374
20170108,2,28487
20170108,3,27972
20170108,4,27084
20170108,5,26453
20170108,6,26110
20170108,7,25569
20170108,8,24936
20170108,9,24482
20170108,10,24184
20170108,11,24183
20170108,12,24415
20170108,13,25372
20170108,14,25955
20170108,15,26901
20170108,16,27611
20170108,17,29048
20170108,18,30758
20170108,19,32663
20170108,20,34159
20170108,21,35454
20170108,22,36029
20170108,23,36581
20170108,24,36920
20170108,25,37538
20170108,26,37736
20170108,27,37735
20170108,28,37595
20170108,29,37662
20170108,30,37803
20170108,31,38314
20170108,32,39318
20170108,33,41197
20170108,34,43267
20170108,35,43878
20170108,36,43459
20170108,37,42816
20170108,38,42127
20170108,39,40827
20170108,40,39493
20170108,41,38233
20170108,42,36708
20170108,43,34879
20170108,44,32788
20170108,45,30954
20170108,46,29509
20170108,47,27538
20170108,48,26321
20170108,1,30286
20170108,2,30404
20170108,3,29773
20170108,4,29819
20170108,5,29547
20170108,6,29231
20170108,7,28809
20170108,8,28167
20170108,9,28111
20170108,10,27794
20170108,11,28035
20170108,12,28240
20170108,13,29151
20170108,14,29502
20170108,15,29517
20170108,16,29411
20170108,17,30836
20170108,18,32542
20170108,19,33725
20170108,20,35122
20170108,21,37236
20170108,22,37813
20170108,23,38114
20170108,24,38403
20170108,25,38459
20170108,26,38705
20170108,27,38935
20170108,28,38683
20170108,29,38780
20170108,30,38917
20170108,31,38922
20170108,32,39927
20170108,33,41872
20170108,34,43929
20170108,35,44596
20170108,36,44308
20170108,37,43805
20170108,38,43117
20170108,39,42423
20170108,40,41265
20170108,41,39413
20170108,42,37859
20170108,43,36034
20170108,44,33939
20170108,45,32584
20170108,46,31137
20170108,47,29174
20170108,48,27965
20170109,1,25970
20170109,2,26173
20170109,3,25886
20170109,4,25114
20170109,5,24453
20170109,6,24054
20170109,7,23491
20170109,8,22898
20170109,9,22539
20170109,10,22682
20170109,11,23329
20170109,12,24739
20170109,13,28115
20170109,14,31513
20170109,15,35719
20170109,16,38139
20170109,17,39145
20170109,18,39228
20170109,19,40080
20170109,20,40539
20170109,21,40587
20170109,22,40683
20170109,23,41003
20170109,24,41198
20170109,25,41347
20170109,26,41289
20170109,27,41479
20170109,28,41356
20170109,29,41540
20170109,30,41517
20170109,31,41659
20170109,32,42705
20170109,33,44210
20170109,34,46164
20170109,35,47102
20170109,36,46686
20170109,37,45836
20170109,38,45143
20170109,39,44153
20170109,40,42987
20170109,41,41489
20170109,42,39732
20170109,43,37643
20170109,44,35272
20170109,45,33035
20170109,46,30881
20170109,47,28677
20170109,48,27217
20170109,1,28342
20170109,2,28915
20170109,3,28628
20170109,4,28154
20170109,5,27770
20170109,6,27631
20170109,7,26900
20170109,8,26392
20170109,9,26471
20170109,10,26613
20170109,11,27173
20170109,12,27965
20170109,13,30095
20170109,14,33258
20170109,15,38170
20170109,16,40783
20170109,17,41460
20170109,18,41523
20170109,19,42137
20170109,20,42602
20170109,21,42833
20170109,22,42991
20170109,23,43457
20170109,24,43613
20170109,25,43938
20170109,26,43884
20170109,27,43817
20170109,28,43564
20170109,29,43369
20170109,30,43333
20170109,31,42464
20170109,32,43513
20170109,33,45002
20170109,34,47028
20170109,35,48103
20170109,36,47742
20170109,37,46954
20170109,38,46203
20170109,39,45214
20170109,40,44069
20170109,41,43115
20170109,42,41237
20170109,43,39056
20170109,44,36673
20170109,45,34817
20170109,46,32662
20170109,47,30467
20170109,48,29117
20170110,1,27004
20170110,2,27215
20170110,3,26774
20170110,4,26179
20170110,5,25784
20170110,6,25634
20170110,7,25211
20170110,8,24689
20170110,9,24485
20170110,10,24533
20170110,11,25152
20170110,12,26679
20170110,13,30064
20170110,14,33653
20170110,15,37751
20170110,16,39893
20170110,17,40650
20170110,18,40558
20170110,19,40958
20170110,20,41067
20170110,21,41025
20170110,22,41124
20170110,23,41054
20170110,24,41156
20170110,25,41440
20170110,26,41295
20170110,27,41157
20170110,28,41152
20170110,29,41488
20170110,30,41648
20170110,31,41724
20170110,32,42765
20170110,33,44449
20170110,34,46734
20170110,35,47502
20170110,36,47178
20170110,37,46592
20170110,38,46048
20170110,39,45146
20170110,40,43791
20170110,41,42406
20170110,42,40476
20170110,43,38298
20170110,44,35778
20170110,45,33350
20170110,46,31025
20170110,47,28764
20170110,48,27192
20170110,1,29362
20170110,2,29902
20170110,3,29999
20170110,4,29674
20170110,5,28938
20170110,6,28834
20170110,7,28582
20170110,8,28040
20170110,9,27828
20170110,10,27931
20170110,11,28558
20170110,12,29840
20170110,13,32257
20170110,14,35650
20170110,15,39663
20170110,16,41807
20170110,17,42871
20170110,18,42757
20170110,19,43126
20170110,20,43260
20170110,21,43498
20170110,22,43604
20170110,23,43804
20170110,24,43935
20170110,25,44198
20170110,26,44080
20170110,27,43796
20170110,28,43820
20170110,29,44235
20170110,30,44366
20170110,31,44199
20170110,32,45104
20170110,33,45818
20170110,34,48145
20170110,35,49122
20170110,36,48954
20170110,37,48581
20170110,38,47959
20170110,39,46998
20170110,40,45629
20170110,41,44571
20170110,42,42536
20170110,43,40371
20170110,44,37787
20170110,45,35161
20170110,46,32780
20170110,47,30409
20170110,48,29115
20170111,1,26802
20170111,2,27283
20170111,3,27012
20170111,4,26245
20170111,5,25724
20170111,6,25517
20170111,7,24961
20170111,8,24221
20170111,9,23790
20170111,10,23859
20170111,11,24581
20170111,12,25929
20170111,13,29290
20170111,14,32652
20170111,15,36688
20170111,16,38635
20170111,17,39114
20170111,18,38822
20170111,19,38998
20170111,20,38768
20170111,21,38125
20170111,22,37803
20170111,23,37608
20170111,24,37562
20170111,25,37704
20170111,26,37601
20170111,27,37671
20170111,28,37674
20170111,29,38043
20170111,30,38254
20170111,31,38913
20170111,32,40356
20170111,33,41914
20170111,34,44800
20170111,35,46112
20170111,36,46005
20170111,37,45581
20170111,38,44873
20170111,39,43942
20170111,40,42776
20170111,41,41565
20170111,42,39594
20170111,43,37574
20170111,44,35219
20170111,45,32905
20170111,46,30978
20170111,47,28727
20170111,48,27489
20170111,1,29656
20170111,2,29908
20170111,3,29691
20170111,4,29151
20170111,5,28978
20170111,6,29040
20170111,7,28465
20170111,8,27781
20170111,9,27828
20170111,10,27856
20170111,11,28438
20170111,12,29354
20170111,13,31373
20170111,14,34289
20170111,15,38320
20170111,16,40272
20170111,17,40755
20170111,18,40461
20170111,19,40705
20170111,20,40497
20170111,21,39917
20170111,22,39592
20170111,23,39386
20170111,24,39319
20170111,25,39455
20170111,26,39352
20170111,27,39412
20170111,28,39342
20170111,29,39713
